Full Name,Born,Bats,Bowls,Code
Alex A Obanda,1987-12-25,Right Handed,Right Arm Medium Fast,3509
Francis N Otieno,1979-08-25,Right Handed,Right Arm Medium,3806
Shem O Ngoche,1989-06-06,Right Handed,Right Arm Off Break,3750
Nelson M Odhiambo,1989-03-21,Right Handed,Right Arm Fast Medium,3755
Irfan A Karim,1992-09-25,Left Handed,Right Arm Off Break,3893
Dhiren M Gondaria,1994-05-12,Right Handed,Right Arm Medium Fast,4240
Rageg G Aga,1984-10-07,Right Handed,Right Arm Medium Fast,3223
Hiren A Varaiya,1984-09-04,Right Handed,Left Arm Orthodox,3422
Gurdeep Singh,1998-01-19,Left Handed,Right Arm Leg Break,4241
Alexei N Kervezee,1989-11-09,Right Handed,Right Arm Medium,3408
Mudassar Bukhari,1983-12-26,Right Handed,Right Arm Medium Fast,3482
Eric S Szwarczynski,1983-02-13,Right Handed,,3413
Bastiaan Zuiderent,1977-03-03,Right Handed,Right Arm Medium,2955
Tom N de Grooth,1979-05-15,Right Handed,Right Arm Off Break,3424
Ryan N ten Doeschate,1980-06-30,Right Handed,Right Arm Medium Fast,3407
Daan L S van Bunge,1982-10-19,Left Handed,Right Arm Off Break,3043
Peter W Borren,1983-08-21,Right Handed,Right Arm Medium,3409
Edgar Schiferli,1976-05-17,Right Handed,Right Arm Medium Fast,3041
Jeroen Smits,1972-06-21,Right Handed,,3090
Peter M Seelaar,1987-02-07,Right Handed,Left Arm Orthodox,3412
Tom L W Cooper,1986-11-26,Right Handed,Right Arm Off Break,3794
Wesley Barresi,1984-03-05,Right Handed,Right Arm Off Break,3807
Bradley P Kruger,1988-09-17,Right Handed,Right Arm Fast Medium,3810
Atse F Buurman,1982-03-21,Right Handed,,3483
Mark B S Jonkman,1986-03-20,Right Handed,Right Arm Medium Fast,3444
Adeel Raja,1980-08-15,Right Handed,Right Arm Off Break,3040
Bernard P Loots,1979-04-19,Right Handed,Right Arm Medium,3815
Mohammad Kashif,1984-03-12,Right Handed,Left Arm Orthodox,3411
Zakiullah Zaki,1990-07-15,Right Handed,Right Arm Leg Break,3949
Stephanus J Myburgh,1984-02-28,Left Handed,Right Arm Off Break,3895
Michael R Swart,1982-01-10,Right Handed,Right Arm Off Break,3867
Timm van der Gugten,1991-02-25,Right Handed,Right Arm Fast Medium,3944
Ahsan Malik,1989-08-29,Right Handed,Right Arm Medium Fast,3869
Sharjeel Khan,1989-08-14,Left Handed,Right Arm Leg Break,4252
Ahmed Shehzad,1991-11-23,Right Handed,Right Arm Leg Break,3675
Mohammad Hafeez,1980-10-17,Right Handed,Right Arm Off Break,3101
Sohaib Maqsood,1987-04-15,Right Handed,,4230
Misbah-ul-Haq,1974-05-28,Right Handed,Right Arm Leg Break,2262
Umar Akmal,1990-05-26,Right Handed,,3721
Shahid Afridi,1980-01-03,Right Handed,Right Arm Leg Break,2152
Anwar Ali,1987-11-25,Right Handed,Right Arm Medium Fast,3695
Umar Gul,1984-04-14,Right Handed,Right Arm Fast Medium,3100
Saeed Ajmal,1977-10-14,Right Handed,Right Arm Off Break,3591
Junaid Khan,1989-12-24,Right Handed,Left Arm Medium Fast,3855
David F Watts,1979-05-06,Right Handed,Right Arm Medium,3425
Preston L Mommsen,1987-10-14,Right Handed,Right Arm Off Break,3797
Joshua H Davey,1990-03-08,Right Handed,Right Arm Medium,3795
