Full Name,Born,Bats,Bowls,Code
Daniel Kyle Morrison,1966-03-02,Right Handed,Right Arm Fast Medium,1219
Bryan A Young,1964-03-11,Right Handed,,1955
Richard B Reid,1958-03-12,Right Handed,,2842
Gavin Rolf Larsen,1962-09-27,Right Handed,Right Arm Medium,1991
Mark J Greatbatch,1963-11-12,Left Handed,,645
Christopher L Cairns,1970-06-13,Right Handed,Right Arm Fast Medium,280
Shane A Thomson,1969-01-27,Right Handed,Right Arm Fast Medium,1748
Richard P De Groen,1962-05-08,Right Handed,Right Arm Medium Fast,426
Matthew J Horne,1970-05-02,Right Handed,Right Arm Medium,2091
Nathan J Astle,1971-09-15,Right Handed,Right Arm Medium,2046
Stephen P Fleming,1973-01-04,Left Handed,Right Arm Medium,1977
Craig D McMillan,1976-09-13,Right Handed,Right Arm Medium,2118
Adam C Parore,1971-01-23,Right Handed,,1334
Roger G Twose,1968-04-17,Left Handed,Right Arm Medium,2038
Daniel L Vettori,1979-01-27,Left Handed,Left Arm Orthodox,2090
Shayne B O'Connor,1973-11-15,Left Handed,Left Arm Fast Medium,2110
Paul Wilson,1972-12-01,Right Handed,Right Arm Fast Medium,2136
Lou Vincent,1978-11-11,Right Handed,,2927
Mark H Richardson,1971-11-06,Left Handed,Left Arm Medium,2231
Scott B Styris,1975-10-07,Right Handed,Right Arm Fast Medium,2899
James E C Franklin,1980-07-11,Left Handed,Left Arm Fast Medium,2263
Shane E Bond,1975-07-06,Right Handed,Right Arm Fast Medium,2996
Brendon B McCullum,1981-09-27,Right Handed,,3008
Dion J Nash,1971-11-20,Right Handed,Right Arm Medium,1251
Andre R Adams,1975-07-17,Right Handed,Right Arm Medium,2963
Hamish J H Marshall,1979-02-15,Right Handed,Right Arm Medium,2254
Luteru Ross Poutoa Lote Taylor,1984-08-03,Right Handed,Right Arm Off Break,3348
Peter G Fulton,1979-01-02,Right Handed,Right Arm Medium,3233
Mark R Gillespie,1979-10-17,Right Handed,Right Arm Fast Medium,3452
Michael J Mason,1974-08-27,Right Handed,Right Arm Fast Medium,3150
Jacob D P Oram,1978-07-28,Left Handed,Right Arm Medium,2811
Jamie M How,1981-05-19,Right Handed,Right Arm Medium,3336
Matthew S Sinclair,1975-09-11,Right Handed,Right Arm Medium,2206
Kyle D Mills,1979-03-15,Right Handed,Right Arm Medium,2966
Christopher Stewart Martin,1974-10-12,Right Handed,Right Arm Fast Medium,2248
Martin J Guptill,1986-09-30,Right Handed,Right Arm Off Break,3633
Grant D Elliott,1979-03-21,Right Handed,Right Arm Fast Medium,3541
Craig D Cumming,1975-08-31,Right Handed,Right Arm Medium,3153
Neil Trevor Broom,1983-11-20,Right Handed,Right Arm Medium,3634
Timothy G Southee,1988-11-12,Right Handed,Right Arm Medium Fast,3542
Iain E O'Brien,1976-10-07,Right Handed,Right Arm Medium,3274
Kane S Williamson,1990-08-08,Right Handed,Right Arm Off Break,3817
Corey J Anderson,1990-12-13,Left Handed,Left Arm Medium Fast,3983
Luke Ronchi,1981-04-23,Right Handed,,3573
Matthew J Henry,1991-12-14,Right Handed,Right Arm Fast Medium,4257
Trent Alexander Boult,1989-07-22,Right Handed,Left Arm Fast Medium,3924
Peter G Coman,1943-04-13,Right Handed,,2657
Bevan E Congdon,1938-11-02,Right Handed,Right Arm Medium,349
Brian F Hastings,1940-03-23,Right Handed,,726
Victor Pollard,1945-07-09,Right Handed,Right Arm Off Break,1380
Kenneth J Wadsworth,1946-11-30,Right Handed,,1833
Dayle R Hadlee,1948-06-01,Right Handed,Right Arm Fast Medium,681
David R O'Sullivan,1944-11-16,Right Handed,Left Arm Orthodox,1293
Ashley J Woodcock,1947-02-27,Right Handed,,1932
Gary J Gilmour,1951-06-26,Left Handed,Left Arm Fast Medium,615
Jeffrey W Wilson,1973-10-24,Right Handed,Right Arm Fast Medium,2943
Mark W Douglas,1968-10-20,Left Handed,,2671
Justin T C Vaughan,1967-08-30,Left Handed,Right Arm Medium,1810
Llorne G Howell,1972-08-07,Right Handed,Right Arm Medium,2723
Simon B Doull,1969-06-08,Right Handed,Right Arm Fast Medium,464
Mark W Priest,1961-12-08,Right Handed,Right Arm Medium,1397
Craig M Spearman,1972-04-07,Right Handed,,2042
Paul J Wiseman,1970-04-05,Right Handed,Right Arm Off Break,2142
Christopher J Nevin,1975-03-08,Right Handed,,2803
James A H Marshall,1979-02-15,Right Handed,Right Arm Medium,3271
Lance J Hamilton,1973-05-04,Right Handed,Left Arm Fast Medium,3272
Michael L  Lewis,1974-06-29,Right Handed,Right Arm Fast Medium,3333
Philip A Jaques,1979-03-05,Left Handed,Left Arm Medium,3335
Peter J Ingram,1978-10-25,Right Handed,Right Arm Off Break,3754
Gareth J Hopkins,1976-11-24,Right Handed,,3177
Shanan L Stewart,1982-06-21,Right Handed,Right Arm Medium,3773
Nathan L McCullum,1980-01-09,Right Handed,Right Arm Off Break,3685
Daryl R Tuffey,1978-11-06,Right Handed,Right Arm Fast Medium,2219
Henry M Nicholls,1991-11-15,Left Handed,Right Arm Off Break,4509
Mitchell Josef Santner,1992-05-02,Left Handed,Left Arm Orthodox,4429
Adam F Milne,1992-04-13,Right Handed,Right Arm Medium Fast,3839
Douglas A J Bracewell,1990-09-28,Right Handed,Right Arm Medium,3911
Inderbir S Sodhi,1992-10-31,Right Handed,Right Arm Leg Break,4243
Thomas William Maxwell Latham,1992-02-04,Left Handed,Right Arm Medium,3932
Colin Munro,1987-11-03,Left Handed,Right Arm Medium Fast,3985
James Douglas Sheahan Neesham,1990-09-17,Left Handed,Right Arm Medium,3986
Lachlan Hammond Ferguson,1991-06-13,Right Handed,Right Arm Fast,4609
Dean Graham Brownlie,1984-07-30,Right Handed,Right Arm Medium,3840
Andris K Zesers,1972-11-03,Right Handed,Right Arm Medium Fast,2954
Blair R Hartland,1966-10-22,Right Handed,,717
Matthew N Hart,1972-05-16,Left Handed,Left Arm Orthodox,1975
Lee K Germon,1968-04-11,Right Handed,,2037
Paul A Hitchcock,1975-01-23,Right Handed,Right Arm Medium,3021
Aaron J Redmond,1979-09-23,Right Handed,Right Arm Leg Break,3547
Ian G Butler,1981-11-24,Right Handed,Right Arm Fast Medium,3011
Jeetan S Patel,1980-07-05,Right Handed,Right Arm Off Break,3321
Jesse Daniel Ryder,1984-06-08,Left Handed,Right Arm Medium,3532
Hamish Kyle Bennett,1987-02-22,Left Handed,Right Arm Medium Fast,3829
Bruce Yardley,1947-05-09,Right Handed,Right Arm Off Break,1953
Mansoor Akhtar,1957-12-25,Right Handed,,28
Mudassar Nazar,1956-06-04,Right Handed,Right Arm Medium,1258
Syed Zaheer Abbas Kirmani,1947-07-24,Right Handed,,3
Javed Miandad,1957-12-06,Right Handed,Right Arm Leg Break,1169
Imran Khan,1952-11-25,Right Handed,Right Arm Fast,928
Wasim Raja,1952-03-07,Left Handed,Right Arm Leg Break,1419
Ijaz Faqih,1956-03-24,Right Handed,Right Arm Off Break,523
Sarfraz Nawaz,1948-01-12,Right Handed,Right Arm Fast Medium,1254
Wasim Bari,1948-03-23,Right Handed,,135
Tahir Naqqash,1959-06-07,Right Handed,Right Arm Fast Medium,1249
Sikander Bakht,1957-08-25,Right Handed,Right Arm Fast Medium,120
Mohsin Khan,1955-03-15,Right Handed,,930
Qasim Omar,1957-09-02,Right Handed,,1301
Rashid Khan,1959-12-15,Right Handed,Right Arm Medium Fast,933
Azeem Hafeez,1963-07-29,Left Handed,Left Arm Fast Medium,684
Ramiz Raja,1962-08-14,Right Handed,Right Arm Leg Break,1418
Anil Dalpat,1963-09-20,Right Handed,,405
Wasim Akram,1966-03-06,Left Handed,Left Arm Fast,29
Glenn A Bishop,1960-02-25,Right Handed,,2634
Sajid Ali,1963-01-07,Right Handed,Right Arm Medium,2851
Saleem Yousuf,1959-07-12,Right Handed,,1960
Saleem Malik,1963-04-16,Right Handed,Right Arm Leg Break,1070
Ijaz Ahmed,1968-09-20,Right Handed,Left Arm Orthodox,15
Abdul Qadir,1955-09-15,Right Handed,Right Arm Leg Break,1408
Tausif Ahmed,1958-10-05,Right Handed,Right Arm Off Break,23
Aaqib Javed,1972-05-08,Right Handed,Right Arm Fast Medium,869
Moin-Ul-Atiq,1964-05-08,Right Handed,Right Arm Leg Break,2787
Saeed Anwar,1968-06-09,Left Handed,Left Arm Orthodox,81
Aamer Malik,1963-03-01,Right Handed,,1068
Shoaib Mohammad,1962-08-01,Right Handed,Right Arm Off Break,1201
Maqsood Rana,1972-01-08,Right Handed,Right Arm Fast Medium,2765
Nadeem Ghauri,1962-12-10,Right Handed,Left Arm Orthodox,600
Mushtaq Ahmed,1970-06-28,Right Handed,Right Arm Leg Break,18
Waqar Younis,1971-11-16,Right Handed,Right Arm Fast,1959
Aamir Sohail,1966-09-14,Left Handed,Left Arm Orthodox,1653
Inzamam-ul-Haq,1970-03-03,Right Handed,Left Arm Orthodox,1794
Moin Khan,1971-09-23,Right Handed,,931
Mohammad Asif Mujtaba,1967-04-11,Left Handed,Left Arm Orthodox,1231
Rashid Latif,1968-10-14,Right Handed,,986
Zahoor Elahi,1971-01-03,Right Handed,Right Arm Medium,2078
Mohammad Wasim,1977-08-08,Right Handed,,2077
Saqlain Mushtaq,1976-11-27,Right Handed,Right Arm Off Break,2032
Mujahid Jamshed,1971-01-12,Right Handed,Right Arm Medium,2790
Mohammad Zahid,1976-02-08,Right Handed,Right Arm Fast,2083
Abdul Razzaq,1979-02-12,Right Handed,Right Arm Fast Medium,2191
Mohammad Yousuf,1974-08-27,Right Handed,,2129
Shoaib Akhtar,1975-08-13,Right Handed,Right Arm Fast,2124
Wajahatullah Wasti,1974-11-11,Right Handed,Right Arm Medium,2167
Azhar Mahmood,1975-02-28,Right Handed,Right Arm Fast Medium,2113
Imran Nazir,1981-12-16,Right Handed,Right Arm Leg Break,2174
Younis Khan,1977-11-29,Right Handed,Right Arm Leg Break,2211
Shoaib Malik,1982-01-02,Right Handed,Right Arm Off Break,2879
Mohammad Sami,1981-02-24,Right Handed,Right Arm Fast,2264
Salman Butt,1984-07-10,Left Handed,,3132
Kamran Akmal,1982-01-13,Right Handed,,3056
Naved-ul-Hasan,1978-02-28,Right Handed,Right Arm Medium,3102
Iftikhar Anjum,1980-01-12,Right Handed,Right Arm Medium,3231
Mohammad Amir,1992-04-13,Left Handed,Left Arm Fast Medium,3698
Mohammad Asif,1982-12-20,Right Handed,Right Arm Fast Medium,3245
Khalid Latif,1985-04-11,Right Handed,Right Arm Off Break,3524
Fawad Alam,1985-08-10,Left Handed,Left Arm Orthodox,3468
Sarfaraz Ahmed,1987-05-22,Right Handed,,3513
Haris Sohail,1989-09-01,Left Handed,Left Arm Orthodox,4225
Wahab Riaz,1985-06-28,Right Handed,,3529
Ehsan Adil,1993-03-15,Right Handed,Right Arm Fast,4003
Sohail Khan,1984-06-03,Right Handed,Right Arm Medium Fast,3525
Rahat Ali,1988-12-09,Right Handed,Left Arm Fast Medium,3955
Christopher A Lynn,1990-10-04,Right Handed,Left Arm Orthodox,4108
Babar Azam,1994-10-15,Right Handed,Right Arm Off Break,4425
Asad Shafiq,1986-01-28,Right Handed,Right Arm Leg Break,3798
Imad Wasim,1988-12-18,Left Handed,Left Arm Orthodox,4423
Mohammad Rizwan,1992-01-06,Right Handed,,4412
Hasan Ali,1994-07-02,Right Handed,Right Arm Medium Fast,4579
Haroon Rashid,1953-03-25,Right Handed,,1442
Jalaluddin,1959-12-06,Right Handed,Right Arm Fast Medium,859
James D Siddons,1964-04-25,Right Handed,Right Arm Leg Break,2881
Akram Raza,1964-11-22,Right Handed,Right Arm Off Break,1445
Philip A Emery,1964-06-25,Left Handed,,2004
Bradley E Young,1973-02-23,Right Handed,Left Arm Orthodox,2947
Asif Mahmood,1975-12-18,Right Handed,Right Arm Off Break,2619
Arshad Khan,1971-03-22,Right Handed,Right Arm Off Break,2121
Alan Turner,1950-07-23,Left Handed,,1783
Sadiq Mohammad,1945-03-05,Left Handed,Right Arm Leg Break,1200
Majid Khan,1946-09-28,Right Handed,Right Arm Off Break,929
Asif Iqbal,1943-06-06,Right Handed,Right Arm Medium,842
Shahid Saeed,1966-06-01,Right Handed,Right Arm Medium,1522
Mansoor Rana,1962-12-27,Right Handed,Right Arm Off Break,2763
Saleem Elahi,1976-11-21,Right Handed,Right Arm Off Break,2031
Faisal Iqbal,1981-12-30,Right Handed,Right Arm Medium,2261
Yasir Arafat,1982-12-03,Right Handed,Right Arm Medium,2946
Sohail Tanvir,1984-12-12,Left Handed,Left Arm Medium Fast,3502
Marcus J North,1979-07-28,Left Handed,Right Arm Off Break,3648
Ben Laughlin,1982-03-10,Right Handed,Right Arm Fast Medium,3657
Nasir Jamshed,1989-06-12,Left Handed,,3521
Azhar Ali,1985-02-19,Right Handed,Right Arm Leg Break,3816
Aizaz Cheema,1979-05-09,Right Handed,Right Arm Medium Fast,3890
Abdur Rehman,1980-01-03,Left Handed,Left Arm Orthodox,3446
Sean A Abbott,1992-02-29,Right Handed,Right Arm Fast Medium,4331
Raza Hasan,1992-08-07,Right Handed,Left Arm Orthodox,3970
Zulfiqar Babar,1978-10-12,Right Handed,Left Arm Orthodox,4226
Mohammad Irfan,1982-06-06,Right Handed,Left Arm Medium Fast,3821
Imam-Ul-Haq,1995-12-12,Left Handed,,4706
Shan Masood,1989-10-14,Left Handed,Right Arm Medium Fast,4246
Faheem Ashraf,1994-01-16,Left Handed,Right Arm Medium,4690
Yasir Shah,1986-02-05,Right Handed,Right Arm Leg Break,3898
Mohammad Abbas,1990-10-03,Right Handed,Right Arm Fast,4683
Mohammad Hasnain,2000-05-04,Right Handed,Right Arm Medium,4991
Dirk P Nannes,1976-05-16,Right Handed,Left Arm Fast Medium,3697
Bruce M W Patterson,1965-01-29,Right Handed,,2820
Iain L Philip,1958-09-06,Right Handed,Left Arm Orthodox,2827
Michael J D Allingham,1965-06-01,Right Handed,Right Arm Medium,2610
Michael Jonathon Smith,1966-03-30,Right Handed,Right Arm Medium,2886
George Salmond,1969-01-12,Right Handed,Right Arm Medium,2856
James E Brinkley,1974-03-13,Right Handed,Right Arm Fast Medium,2641
Alec G Davies,1962-08-14,Right Handed,,2661
John A R Blain,1979-04-01,Right Handed,Right Arm Fast Medium,2635
Asim Butt,1967-10-24,Right Handed,Left Arm Medium Fast,2620
Nicholas R Dyer,1969-10-10,Right Handed,Right Arm Off Break,2676
Peter N Kirsten,1955-05-14,Right Handed,Right Arm Off Break,946
Gary Kirsten,1967-11-23,Left Handed,Right Arm Off Break,945
Wessel J Cronje,1969-09-25,Right Handed,Right Arm Medium,392
Jonathan N Rhodes,1969-07-26,Right Handed,Right Arm Medium,1465
Daryll J Cullinan,1967-04-03,Right Handed,Right Arm Off Break,395
David J Callaghan,1965-01-02,Right Handed,Right Arm Medium,2649
David J Richardson,1959-09-16,Right Handed,,1473
Richard P Snell,1968-12-09,Right Handed,Right Arm Fast Medium,1648
Craig R Matthews,1965-02-15,Right Handed,Right Arm Fast Medium,1108
Petrus Stephanus De Villiers,1964-10-13,Right Handed,Right Arm Fast Medium,433
Allan A Donald,1966-10-20,Right Handed,Right Arm Fast,458
Brian M McMillan,1963-12-22,Right Handed,Right Arm Medium Fast,1147
Jacques H Kallis,1975-10-16,Right Handed,Right Arm Fast Medium,2043
Lance Klusener,1971-04-09,Left Handed,Right Arm Fast Medium,2081
Shaun M Pollock,1973-07-16,Right Handed,Right Arm Fast Medium,2039
Patrick Leonard Symcox,1960-04-14,Right Handed,Right Arm Off Break,1706
Herschelle Herman Gibbs,1974-02-23,Right Handed,Right Arm Fast Medium,2080
Andrew J Hall,1975-07-31,Right Handed,Right Arm Fast Medium,2710
Mark V Boucher,1976-03-12,Right Handed,,2116
Nico Boje,1973-03-20,Left Handed,Left Arm Orthodox,2210
Roger Telemachus,1973-03-27,Right Handed,Right Arm Fast Medium,2911
David J Terbrugge,1977-01-31,Right Handed,Right Arm Fast Medium,2153
Neil D McKenzie,1975-11-24,Right Handed,Right Arm Medium,2227
Hendrik H Dippenaar,1977-06-14,Right Handed,Right Arm Off Break,2190
Makhaya Ntini,1977-06-07,Right Handed,Right Arm Fast,2137
Steven Elworthy,1965-02-23,Right Handed,Right Arm Fast Medium,2147
Brett R Dorey,1977-03-10,Right Handed,Right Arm Fast Medium,3338
Hashim Mahomed Amla,1983-03-31,Right Handed,Right Arm Medium,3236
Abraham B de Villiers,1984-02-17,Right Handed,,3241
Jean-Paul Duminy,1984-04-14,Left Handed,Right Arm Off Break,3208
Johannes A Morkel,1981-10-06,Left Handed,Right Arm Medium Fast,3162
Vaughn B van Jaarsveld,1985-02-02,Left Handed,Right Arm Medium,3636
Johan Botha,1982-02-05,Right Handed,Right Arm Off Break,3329
Morne Morkel,1984-06-10,Left Handed,Right Arm Fast,3451
Lonwabo L Tsotsobe,1984-07-03,Right Handed,Left Arm Fast Medium,3641
Wayne Dillon Parnell,1989-07-30,Left Handed,Left Arm Medium Fast,3642
Quinton de Kock,1992-12-17,Left Handed,,3988
Francois du Plessis,1984-07-13,Right Handed,Right Arm Leg Break,3847
David A Miller,1989-10-06,Left Handed,Right Arm Off Break,3783
Farhaan Behardien,1983-09-10,Right Handed,Right Arm Fast Medium,3951
Ryan  McLaren,1983-09-02,Left Handed,Right Arm Fast Medium,3736
Robin J Peterson,1979-04-08,Left Handed,Left Arm Orthodox,3049
Dale W Steyn,1983-06-27,Right Handed,Right Arm Fast,3242
Kyle J Abbott,1987-06-18,Right Handed,Right Arm Fast Medium,4002
Reeza R Hendricks,1989-08-14,Right Handed,Right Arm Medium Fast,4340
Aiden Kyle Markram,1994-04-10,Right Handed,Right Arm Off Break,4701
Heinrich Klaasen,1991-07-30,Right Handed,,4731
Dwaine Pretorius,1989-03-29,Right Handed,Right Arm Medium Fast,4589
Kagiso Rabada,1995-05-25,Left Handed,Right Arm Fast,4339
Lungisani Ngidi,1996-03-29,Right Handed,Right Arm Fast,4636
Mohammad Imran Tahir,1979-03-27,Right Handed,Right Arm Leg Break,3850
Adrian P Kuiper,1959-08-24,Right Handed,Right Arm Fast Medium,958
Eric O Simons,1962-09-03,Right Handed,Right Arm Fast Medium,2883
Andrew C Hudson,1965-03-17,Right Handed,Right Arm Medium,809
Timothy G Shaw,1959-05-07,Left Handed,Left Arm Orthodox,2874
Michael J Di Venuto,1973-12-12,Left Handed,Right Arm Leg Break,2669
Adam M Bacher,1973-10-29,Right Handed,,2086
Louis J Koen,1967-03-28,Right Handed,,2748
Derek N Crookes,1969-05-03,Right Handed,Right Arm Off Break,2658
Rudi E Bryson,1968-07-25,Right Handed,Right Arm Fast Medium,2647
Mornantau Hayward,1977-06-03,Right Handed,Right Arm Fast,2202
Graeme C Smith,1981-01-02,Left Handed,Right Arm Medium,3014
John C Kent,1979-07-05,Right Handed,Right Arm Medium Fast,3018
Justin M Kemp,1977-02-10,Right Handed,Right Arm Fast Medium,2258
Andre Nel,1977-07-15,Right Handed,Right Arm Fast Medium,2970
Roelof E Van Der Merwe,1984-12-31,Right Handed,Left Arm Orthodox,3658
Daniel J Worrall,1991-10-07,Right Handed,Right Arm Fast Medium,4591
Rilee Roscoe Rossouw,1989-09-10,Left Handed,Right Arm Off Break,4321
Andile Lucky Phehlukwayo,1996-03-03,Left Handed,Right Arm Fast,4588
Christopher P Tremain,1991-10-08,Right Handed,Right Arm Medium Fast,4594
Janneman Nieuwoudt Malan,1996-04-18,Right Handed,Right Arm Leg Break,4848
Temba Bavuma,1990-05-17,Right Handed,Right Arm Medium,4370
Kyle Verreynne,1997-12-05,Right Handed,Right Arm Off Break,5829
Keshav A Maharaj,1990-07-02,Right Handed,Left Arm Orthodox,4601
Anrich Nortje,1993-11-16,Right Handed,Right Arm Fast,4929
Tabraiz Shamsi,1990-02-18,Right Handed,Left Arm Wrist Spin (Chinaman),4562
Michael J R Rindel,1963-09-02,Left Handed,Left Arm Orthodox,2844
Ashwell Gavin Prince,1977-05-28,Left Handed,,3013
Charl K Langeveldt,1974-12-17,Right Handed,Right Arm Fast Medium,2991
Aaron M Phangiso,1984-01-21,Right Handed,Left Arm Orthodox,3990
Hendrik Erasmus Van Der Dussen,1989-07-02,Right Handed,Right Arm Leg Break,4817
Christopher Henry Morris,1987-04-30,Right Handed,Right Arm Fast Medium,3989
Sidath Wettimuny,1956-12-08,Right Handed,Right Arm Medium,1889
Sampathawudage A R Silva,1960-12-12,Left Handed,,1594
Don S B P Kuruppu,1962-05-01,Right Handed,,964
Roy L Dias,1952-10-18,Right Handed,Right Arm Medium,447
Louis Rohan Duleep Mendis,1952-08-25,Right Handed,,1162
Pinnaduwage A de Silva,1965-10-17,Right Handed,Right Arm Off Break,432
Ashantha L F De Mel,1959-09-05,Right Handed,Right Arm Fast Medium,427
Joseph Ravindran Ratnayeke,1960-02-05,Left Handed,Right Arm Fast Medium,1444
Rumesh Joseph Ratnayake,1964-02-01,Right Handed,Right Arm Fast Medium,1443
Dandeniyage S De Silva,1942-11-06,Right Handed,Right Arm Leg Break,429
Vinothen Bede John,1960-05-27,Right Handed,Right Arm Fast Medium,878
Ranjan Senerath Madugalle,1959-04-22,Right Handed,Right Arm Off Break,1054
Shaul H U Karnain,1962-11-08,Right Handed,Right Arm Medium,2742
Dudley M Vonhagt,1965-03-31,Right Handed,Right Arm Medium,2928
Arjuna Ranatunga,1963-01-12,Left Handed,Right Arm Medium,1433
Roshan Siriwardene Mahanama,1966-05-31,Right Handed,,1057
Asanka Pradeep Gurusinha,1966-09-16,Left Handed,Right Arm Medium,679
Sanath M S Kaluperuma,1961-10-22,Right Handed,Right Arm Off Break,905
Ronald G De Alwis,1959-02-15,Right Handed,,422
Graeme F Labrooy,1954-09-06,Right Handed,Right Arm Fast Medium,967
Champaka P H Ramanayake,1965-08-01,Right Handed,Right Arm Fast Medium,1425
Maitipage Athula Rohitha Samarasekera,1961-04-08,Right Handed,Right Arm Medium,1527
Hashan Prasantha Tillakaratne,1967-07-14,Left Handed,Right Arm Off Break,1752
Sanath Teran Jayasuriya,1969-06-30,Left Handed,Left Arm Orthodox,872
Kapila I W Wijegunawardene,1964-11-23,Right Handed,Right Arm Fast Medium,1907
Ellawalakankanamage De Silva,1956-03-28,Left Handed,Right Arm Leg Break,430
Arachchige W R Madurasinghe,1961-01-30,Left Handed,Right Arm Off Break,1055
Ruwan S Kalpage,1970-02-19,Left Handed,Right Arm Off Break/Right Arm Medium,1969
Sangarange D Anurasiri,1966-02-25,Right Handed,Left Arm Orthodox,79
Gallage Pramodya Wickramasinghe,1971-08-14,Right Handed,Right Arm Fast Medium,1902
Romesh S Kaluwitharana,1969-11-24,Right Handed,,906
Handunnettige Deepthi Priyantha Kumar Dharmasena,1971-04-24,Right Handed,Right Arm Off Break,1971
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,1974-01-21,Left Handed,Left Arm Fast Medium,2000
Muttiah Muralitharan,1972-04-17,Right Handed,Right Arm Off Break,1234
Marvan S Atapattu,1972-11-22,Right Handed,Right Arm Off Break,100
Umagiliya D U Chandana,1972-07-05,Right Handed,Right Arm Leg Break,2177
Ryan J Campbell,1972-07-02,Right Handed,Right Arm Off Break,3007
Russel P Arnold,1973-10-25,Left Handed,Right Arm Off Break,2098
Congenige Randhi Dilhara Fernando,1979-07-19,Right Handed,Right Arm Fast Medium,2223
Pulasthi W Gunaratne,1973-09-27,Right Handed,Right Arm Fast Medium,3034
Thudellage C B Fernando,1980-08-22,Right Handed,Right Arm Fast Medium,2992
Dihan Avishka Gunawardene,1977-05-26,Left Handed,,2175
Jehan Mubarak,1981-10-02,Left Handed,Right Arm Off Break,3030
Materba K G C P Lakshitha,1979-04-01,Right Handed,Right Arm Fast Medium,3029
Ratnayake A P Nissanka,1980-10-25,Right Handed,Right Arm Medium Fast,2993
Tillakaratne Mudiyanselage Dilshan,1976-10-14,Right Handed,Right Arm Medium,2197
Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,1982-07-22,Right Handed,Right Arm Fast Medium,3147
Panagodage D R L Perera,1976-10-27,,Left Arm Fast Medium,2169
Warushavithana Upul Tharanga,1985-02-02,Left Handed,,3291
Withanaarchchige C A Ganegama,1981-03-29,Right Handed,Right Arm Fast Medium,2962
Chamara Kantha Kapugedera,1987-02-24,Right Handed,Right Arm Medium,3340
Mahawaduge Dilruwan Kamalaneth Perera,1982-07-22,Right Handed,Right Arm Off Break,3501
Lindamlilage P C Silva,1979-12-14,Right Handed,Right Arm Leg Break,2882
Merenna K D I Amerasinghe,1978-05-03,Right Handed,Right Arm Fast Medium,3466
Balapuwaduge Manukulasuriya Amith Jeevan Mendis,1983-01-15,Left Handed,Right Arm Leg Break,3787
Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla,1985-01-30,Right Handed,Right Arm Off Break,3746
Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,1985-09-02,Right Handed,Right Arm Off Break,3928
Herath Mudiyanselage Rangana Keerthi Bandara Herath,1978-03-19,Left Handed,Left Arm Orthodox,2185
Benjamin C J Cutting,1987-01-30,Right Handed,Right Arm Fast Medium,3995
Roger D Woolley,1954-09-16,Right Handed,,1937
Upul Chandika Hathurusingha,1968-09-13,Right Handed,Right Arm Medium Fast,728
Demuni Nuwan Tharanga Zoysa,1978-05-13,Left Handed,Left Arm Fast Medium,2095
Ranaweera Mudiyanselage Shaminda Eranga,1986-06-23,Right Handed,Right Arm Medium Fast,3880
Seekkuge Prasanna,1985-06-27,Right Handed,Right Arm Leg Break,3881
Balapuwaduge Kusal Gimhan Mendis,1995-02-02,Right Handed,,4485
Dhananjaya Maduranga de Silva,1991-06-09,Right Handed,Right Arm Off Break,4472
Tisse Appuhamilage Milinda Siriwardana,1985-04-12,Left Handed,Left Arm Orthodox,4453
M Amila Aponso,1993-06-23,Right Handed,Left Arm Orthodox,4580
Paththamperuma Arachchige Don Lakshan Rangika Sandakan,1991-10-06,Right Handed,Left Arm Wrist Spin (Chinaman),4571
Mashtayage Danushka Gunathilaka,1991-03-17,Left Handed,Right Arm Off Break,4487
Weerahandige Inol Avishka Fernando,1998-05-04,Right Handed,Right Arm Medium Fast,4581
Angelo Kanishka Perera,1990-02-23,Right Handed,Left Arm Orthodox,4017
Sachith Shanaka Pathirana,1989-03-21,Left Handed,Left Arm Orthodox,4454
Madagamagamage Dasun Shanaka,1991-09-09,Right Handed,Right Arm Medium,4476
Pubudu B Dassanayake,1970-11-07,Right Handed,,1970
Arachchige M N Munasinghe,1971-10-12,Right Handed,Right Arm Fast Medium,2792
Mohamed Farveez Maharoof,1984-07-09,Right Handed,Right Arm Fast Medium,3171
C Malinga Bandara,1979-12-31,Right Handed,Right Arm Leg Break,2144
Roy C Fredericks,1942-11-11,Left Handed,Left Arm Wrist Spin (Chinaman),569
Cuthbert Gordon Greenidge,1951-01-05,Right Handed,Right Arm Off Break,648
Lawrence G Rowe,1949-08-01,Right Handed,Left Arm Fast Medium,1509
Isaac Vivian Alexander Richards,1952-07-03,Right Handed,Right Arm Off Break,1470
Clive Hubert Lloyd,1944-08-31,Left Handed,Right Arm Medium,1024
Alvin I Kallicharran,1949-03-21,Left Handed,Right Arm Off Break,903
Bernard D Julien,1950-03-13,Right Handed,Left Arm Medium Fast,896
Deryck Lance Murray,1943-05-20,Right Handed,,1240
Keith D Boyce,1943-11-10,Right Handed,Right Arm Fast,217
Vanburn A Holder,1945-08-10,Right Handed,Right Arm Fast Medium,780
Anderson M E Roberts,1951-01-29,Right Handed,Right Arm Fast,1489
Desmond L Haynes,1956-02-15,Right Handed,Right Arm Medium,734
Collis L King,1951-11-06,Right Handed,Right Arm Medium,938
Joel Garner,1952-12-16,Right Handed,Right Arm Fast,590
Michael A Holding,1954-02-16,Right Handed,Right Arm Fast,781
